68.0; evolves from : ;67.0;
105.0; evolves from : ;104.0;
135.0; evolves from : ;134.0;136.0;197.0;
196.0; evolves from : ;134.0;136.0;197.0;
271.0; evolves from : ;134.0;136.0;197.0;
272.0; evolves from : ;134.0;136.0;197.0;
287.0; evolves from : ;286.0;288.0;
313.0; evolves from : ;311.0;
339.0; evolves from : ;134.0;136.0;197.0;
12.3; evolves from : ;10.1;11.1;12.1;11.2;10.2;
18.3; evolves from : ;16.1;
22.3; evolves from : ;21.1;
49.3; evolves from : ;49.2;
62.3; evolves from : ;60.1;186.1;186.2;60.2;
85.3; evolves from : ;84.1;
87.3; evolves from : ;86.1;
97.3; evolves from : ;96.1;
110.3; evolves from : ;110.2;
135.3; evolves from : ;133.1;134.1;134.3;135.1;136.1;136.3;196.3;271.2;272.3;339.1;339.3;133.3;
141.3; evolves from : ;140.2;
144.3; evolves from : ;144.1;
160.3; evolves from : ;158.1;158.2;
162.3; evolves from : ;161.1;162.1;162.2;
166.3; evolves from : ;165.1;
186.3; evolves from : ;60.1;186.1;186.2;60.2;
189.3; evolves from : ;187.1;188.1;189.1;
197.3; evolves from : ;133.1;134.1;134.3;135.1;136.1;136.3;196.3;271.2;272.3;339.1;339.3;133.3;
206.3; evolves from : ;206.2;
242.3; evolves from : ;113.1;113.2;
248.3; evolves from : ;246.1;
254.3; evolves from : ;190.1;190.2;
255.3; evolves from : ;200.1;
265.3; evolves from : ;111.1;111.3;
271.3; evolves from : ;133.1;134.1;134.3;135.1;136.1;136.3;196.3;271.2;272.3;339.1;339.3;133.3;
275.3; evolves from : ;233.2;137.3;
278.3; evolves from : ;276.1;
281.3; evolves from : ;279.3;
284.3; evolves from : ;282.1;282.2;282.3;
288.3; evolves from : ;285.1;287.3;
308.3; evolves from : ;308.2;
310.3; evolves from : ;310.1;310.2;
321.3; evolves from : ;319.1;320.1;320.2;320.3;
334.3; evolves from : ;334.1;
336.3; evolves from : ;395.1;
338.3; evolves from : ;399.1;
353.3; evolves from : ;402.1;
354.3; evolves from : ;403.1;403.2;
355.3; evolves from : ;404.1;404.3;
356.3; evolves from : ;289.3;
359.3; evolves from : ;359.1;359.2;
362.3; evolves from : ;411.1;411.2;411.3;
364.3; evolves from : ;413.1;364.1;
373.3; evolves from : ;373.1;
22.6; evolves from : ;21.4;22.5;
40.6; evolves from : ;174.4;39.5;
49.6; evolves from : ;48.6;
57.6; evolves from : ;56.4;
87.6; evolves from : ;86.4;
97.6; evolves from : ;96.4;96.5;96.6;
106.6; evolves from : ;236.4;
107.6; evolves from : ;236.4;
128.6; evolves from : ;128.5;
136.6; evolves from : ;133.4;134.4;134.5;134.6;135.5;135.6;197.4;197.5;197.6;271.4;272.5;272.6;339.6;133.5;133.6;
184.6; evolves from : ;252.4;
195.6; evolves from : ;194.4;
196.6; evolves from : ;133.4;134.4;134.5;134.6;135.5;135.6;197.4;197.5;197.6;271.4;272.5;272.6;339.6;133.5;133.6;
203.6; evolves from : ;203.5;
205.6; evolves from : ;205.5;
217.6; evolves from : ;216.4;217.5;216.5;
225.6; evolves from : ;225.4;
237.6; evolves from : ;236.4;
242.6; evolves from : ;259.4;
264.6; evolves from : ;108.4;108.5;
267.6; evolves from : ;125.5;
271.6; evolves from : ;133.4;134.4;134.5;134.6;135.5;135.6;197.4;197.5;197.6;271.4;272.5;272.6;339.6;133.5;133.6;
288.6; evolves from : ;285.4;287.6;
302.6; evolves from : ;301.6;
309.6; evolves from : ;386.5;
318.6; evolves from : ;316.4;318.5;
332.6; evolves from : ;388.4;
350.6; evolves from : ;350.4;
352.6; evolves from : ;401.4;
354.6; evolves from : ;403.4;403.5;
356.6; evolves from : ;289.6;382.6;
362.6; evolves from : ;411.4;411.5;
363.6; evolves from : ;412.4;412.6;
368.6; evolves from : ;415.5;
20.9; evolves from : ;19.7;19.8;19.9;
22.9; evolves from : ;21.7;
49.9; evolves from : ;48.7;
55.9; evolves from : ;54.7;55.8;54.8;
59.9; evolves from : ;58.8;
68.9; evolves from : ;66.7;
89.9; evolves from : ;88.7;89.8;
97.9; evolves from : ;97.7;
106.9; evolves from : ;236.7;237.9;236.8;
107.9; evolves from : ;236.7;237.9;236.8;
124.9; evolves from : ;238.7;
135.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
136.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
139.9; evolves from : ;138.7;138.8;
151.9; evolves from : ;151.7;151.8;
162.9; evolves from : ;161.7;
171.9; evolves from : ;170.7;170.8;170.9;
184.9; evolves from : ;183.7;184.8;183.9;
186.9; evolves from : ;60.7;62.9;186.7;61.8;60.8;
192.9; evolves from : ;191.7;191.8;
195.9; evolves from : ;194.7;194.8;
196.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
199.9; evolves from : ;80.9;
230.9; evolves from : ;116.7;117.8;
262.9; evolves from : ;215.8;
271.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
272.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
278.9; evolves from : ;277.8;
288.9; evolves from : ;285.7;287.9;
299.9; evolves from : ;297.7;
302.9; evolves from : ;302.8;
314.9; evolves from : ;314.7;
332.9; evolves from : ;389.8;
335.9; evolves from : ;394.8;
339.9; evolves from : ;133.7;134.8;134.9;135.8;197.9;271.7;133.8;
354.9; evolves from : ;403.7;
361.9; evolves from : ;409.7;410.7;
18.12; evolves from : ;16.10;17.12;16.11;16.12;
28.12; evolves from : ;27.11;
47.12; evolves from : ;46.10;
53.12; evolves from : ;52.10;52.11;
57.12; evolves from : ;56.10;56.12;
59.12; evolves from : ;58.11;
62.12; evolves from : ;186.10;61.12;
68.12; evolves from : ;67.12;
71.12; evolves from : ;69.10;70.12;69.11;69.12;
73.12; evolves from : ;72.10;
76.12; evolves from : ;74.10;
80.12; evolves from : ;80.10;
101.12; evolves from : ;101.10;
106.12; evolves from : ;236.10;
107.12; evolves from : ;236.10;
122.12; evolves from : ;258.10;258.12;
127.12; evolves from : ;127.10;127.11;
134.12; evolves from : ;133.10;
135.12; evolves from : ;133.10;
136.12; evolves from : ;133.10;
141.12; evolves from : ;140.10;140.11;140.12;
146.12; evolves from : ;146.10;
149.12; evolves from : ;149.10;147.12;
154.12; evolves from : ;152.10;
157.12; evolves from : ;155.10;
160.12; evolves from : ;158.10;
185.12; evolves from : ;257.10;
186.12; evolves from : ;186.10;61.12;
196.12; evolves from : ;133.10;
197.12; evolves from : ;133.10;
199.12; evolves from : ;80.10;
205.12; evolves from : ;204.11;
208.12; evolves from : ;95.10;
212.12; evolves from : ;123.10;212.10;
214.12; evolves from : ;214.10;214.11;
217.12; evolves from : ;216.10;
222.12; evolves from : ;222.10;
225.12; evolves from : ;225.10;
237.12; evolves from : ;236.10;
248.12; evolves from : ;247.12;246.12;
249.12; evolves from : ;249.10;
250.12; evolves from : ;250.11;
263.12; evolves from : ;81.10;81.11;
266.12; evolves from : ;114.10;
267.12; evolves from : ;125.12;
271.12; evolves from : ;133.10;
272.12; evolves from : ;133.10;
273.12; evolves from : ;207.10;
274.12; evolves from : ;220.10;
281.12; evolves from : ;279.10;
284.12; evolves from : ;282.10;282.11;282.12;
288.12; evolves from : ;285.10;287.12;286.12;285.11;285.12;
293.12; evolves from : ;291.10;293.10;292.11;
308.12; evolves from : ;307.10;
309.12; evolves from : ;309.10;
313.12; evolves from : ;311.10;311.11;311.12;
314.12; evolves from : ;314.10;
318.12; evolves from : ;316.10;
321.12; evolves from : ;319.10;321.10;
329.12; evolves from : ;327.12;
339.12; evolves from : ;133.10;
345.12; evolves from : ;345.10;
352.12; evolves from : ;401.12;
